timestamp,mac,ssid,rssi
2026-03-04 17:45:10.214377,3a:82:65:7c:f0:30,gateway5G,-49
2026-03-04 17:45:10.218205,3a:82:65:7c:f0:30,<Broadcast>,-57
2026-03-04 17:45:10.221638,3a:82:65:7c:f0:30,NETGEAR-5G,-58
2026-03-04 17:45:10.227363,3a:82:65:7c:f0:30,CMCC-32yu-5G,-58
2026-03-04 17:45:10.229681,3a:82:65:7c:f0:30,Pixel_9240,-57
2026-03-04 17:45:10.232432,3a:82:65:7c:f0:30,TP-LINK_A715,-56
2026-03-04 17:45:10.235518,3a:82:65:7c:f0:30,gateway5G,-58
2026-03-04 17:45:10.239221,3a:82:65:7c:f0:30,<Broadcast>,-57
2026-03-04 17:45:10.246579,3a:82:65:7c:f0:30,CMCC-32yu-5G,-57
2026-03-04 17:45:10.249151,3a:82:65:7c:f0:30,Pixel_9240,-56
2026-03-04 17:45:10.541163,ca:46:2c:20:65:fa,UCR-SECURE,-84
2026-03-04 17:45:10.978141,ca:46:2c:20:65:fa,UCR-SECURE,-83
2026-03-04 17:45:11.011989,9e:39:e2:0c:ba:b4,UCR-SECURE,-81
2026-03-04 17:45:11.031661,9e:39:e2:0c:ba:b4,UCR-SECURE,-84
2026-03-04 17:45:11.457446,ee:83:38:e2:62:06,<Broadcast>,-83
2026-03-04 17:45:12.409662,de:6f:53:02:7b:4a,UCR-SECURE,-80
2026-03-04 17:45:12.545838,a6:dc:20:15:1e:0d,<Broadcast>,-71
2026-03-04 17:45:12.556670,96:70:c4:f7:16:3b,<Broadcast>,-74
2026-03-04 17:45:12.578340,96:70:c4:f7:16:3b,<Broadcast>,-73
2026-03-04 17:45:12.661029,5a:91:e6:00:49:12,<Broadcast>,-65
2026-03-04 17:45:13.081887,10:5b:ad:c6:62:9c,<Broadcast>,-82
2026-03-04 17:45:13.099568,10:5b:ad:c6:62:9c,<Broadcast>,-81
2026-03-04 17:45:13.107597,aa:74:ea:84:83:c1,<Broadcast>,-82
2026-03-04 17:45:13.485230,10:5b:ad:c6:62:9c,<Broadcast>,-82
2026-03-04 17:45:13.507126,10:5b:ad:c6:62:9c,<Broadcast>,-81
2026-03-04 17:45:13.526752,10:5b:ad:c6:62:9c,<Broadcast>,-80
2026-03-04 17:45:13.534869,c6:b9:54:7d:1f:69,P,-45
2026-03-04 17:45:14.170499,1e:de:88:14:5c:6e,P,-52
2026-03-04 17:45:15.289062,c6:b9:54:7d:1f:69,<Broadcast>,-44
2026-03-04 17:45:15.309847,c6:b9:54:7d:1f:69,<Broadcast>,-45
2026-03-04 17:45:15.410869,c6:b9:54:7d:1f:69,<Broadcast>,-47
2026-03-04 17:45:15.412472,c6:b9:54:7d:1f:69,<Broadcast>,-45
2026-03-04 17:45:16.191639,e2:a2:62:51:3b:23,<Broadcast>,-61
2026-03-04 17:45:16.203188,e2:a2:62:51:3b:23,<Broadcast>,-60
2026-03-04 17:45:16.288171,12:59:04:df:3c:b8,<Broadcast>,-74
2026-03-04 17:45:16.329945,aa:a0:ac:3b:c3:c3,<Broadcast>,-63
2026-03-04 17:45:16.355493,ce:22:1a:e9:29:c2,<Broadcast>,-65
2026-03-04 17:45:16.369585,ce:22:1a:e9:29:c2,<Broadcast>,-63
2026-03-04 17:45:16.457696,66:09:f1:8e:e2:fb,<Broadcast>,-75
2026-03-04 17:45:16.478283,66:09:f1:8e:e2:fb,<Broadcast>,-76
2026-03-04 17:45:16.547061,3a:82:65:7c:f0:30,<Broadcast>,-51
2026-03-04 17:45:16.567661,3a:82:65:7c:f0:30,<Broadcast>,-51
2026-03-04 17:45:16.590765,3a:82:65:7c:f0:30,<Broadcast>,-50
2026-03-04 17:45:16.635137,3a:82:65:7c:f0:30,<Broadcast>,-51
2026-03-04 17:45:16.653218,32:3f:fa:c2:1e:73,<Broadcast>,-57
2026-03-04 17:45:17.018053,46:d5:de:26:72:6f,<Broadcast>,-50
2026-03-04 17:45:17.138828,00:80:92:bd:0d:04,UCR-SECURE,-88
2026-03-04 17:45:17.464918,86:f2:79:16:27:b6,<Broadcast>,-73
2026-03-04 17:45:17.578426,ac:82:47:f9:4b:f6,<Broadcast>,-71
2026-03-04 17:45:17.935821,3a:82:65:7c:f0:30,Pixel_9240,-60
2026-03-04 17:45:17.978696,3a:82:65:7c:f0:30,<Broadcast>,-52
2026-03-04 17:45:17.981381,3a:82:65:7c:f0:30,NETGEAR-5G,-50
2026-03-04 17:45:17.983464,3a:82:65:7c:f0:30,CMCC-32yu-5G,-50
2026-03-04 17:45:17.985256,3a:82:65:7c:f0:30,Pixel_9240,-51
2026-03-04 17:45:17.999461,3a:82:65:7c:f0:30,<Broadcast>,-51
2026-03-04 17:45:18.037304,3a:82:65:7c:f0:30,<Broadcast>,-52
2026-03-04 17:45:18.039785,3a:82:65:7c:f0:30,NETGEAR-5G,-51
2026-03-04 17:45:18.041933,3a:82:65:7c:f0:30,CMCC-32yu-5G,-51
2026-03-04 17:45:18.043861,3a:82:65:7c:f0:30,Pixel_9240,-53
2026-03-04 17:45:18.045718,3a:82:65:7c:f0:30,gateway5G,-53
2026-03-04 17:45:18.057739,3a:82:65:7c:f0:30,<Broadcast>,-52
2026-03-04 17:45:18.060377,3a:82:65:7c:f0:30,NETGEAR-5G,-51
2026-03-04 17:45:18.063430,3a:82:65:7c:f0:30,CMCC-32yu-5G,-53
2026-03-04 17:45:18.066484,3a:82:65:7c:f0:30,Pixel_9240,-52
2026-03-04 17:45:18.070357,3a:82:65:7c:f0:30,TP-LINK_A715,-51
2026-03-04 17:45:18.072678,3a:82:65:7c:f0:30,gateway5G,-52
2026-03-04 17:45:18.078077,3a:82:65:7c:f0:30,<Broadcast>,-51
2026-03-04 17:45:18.081045,3a:82:65:7c:f0:30,NETGEAR-5G,-52
2026-03-04 17:45:18.087410,3a:82:65:7c:f0:30,Pixel_9240,-53
2026-03-04 17:45:18.090660,3a:82:65:7c:f0:30,TP-LINK_A715,-52
2026-03-04 17:45:18.092826,3a:82:65:7c:f0:30,gateway5G,-52
2026-03-04 17:45:18.102290,3a:82:65:7c:f0:30,<Broadcast>,-52
2026-03-04 17:45:18.104411,3a:82:65:7c:f0:30,NETGEAR-5G,-52
2026-03-04 17:45:18.107328,3a:82:65:7c:f0:30,CMCC-32yu-5G,-53
2026-03-04 17:45:18.110295,3a:82:65:7c:f0:30,Pixel_9240,-53
2026-03-04 17:45:18.145202,3a:82:65:7c:f0:30,<Broadcast>,-52
2026-03-04 17:45:18.149880,3a:82:65:7c:f0:30,NETGEAR-5G,-58
2026-03-04 17:45:18.153068,3a:82:65:7c:f0:30,CMCC-32yu-5G,-58
2026-03-04 17:45:18.164480,3a:82:65:7c:f0:30,TP-LINK_A715,-59
2026-03-04 17:45:18.167837,3a:82:65:7c:f0:30,gateway5G,-58
2026-03-04 17:45:18.173988,3a:82:65:7c:f0:30,NETGEAR-5G,-59
2026-03-04 17:45:18.181254,3a:82:65:7c:f0:30,CMCC-32yu-5G,-58
2026-03-04 17:45:18.183424,3a:82:65:7c:f0:30,Pixel_9240,-58
2026-03-04 17:45:18.190432,3a:82:65:7c:f0:30,gateway5G,-59
2026-03-04 17:45:18.204586,3a:82:65:7c:f0:30,NETGEAR-5G,-59
2026-03-04 17:45:18.325229,de:6f:53:02:7b:4a,UCR-SECURE,-79
2026-03-04 17:45:18.981583,1e:5b:04:b0:cb:29,<Broadcast>,-54
2026-03-04 17:45:19.007926,3a:af:31:36:d8:58,<Broadcast>,-51
2026-03-04 17:45:19.451296,46:ae:ab:42:ab:2c,<Broadcast>,-73
2026-03-04 17:45:19.556571,26:59:1b:78:c1:ee,<Broadcast>,-66
2026-03-04 17:45:19.630892,36:03:bd:10:39:92,<Broadcast>,-71
2026-03-04 17:45:19.693127,16:3a:38:8d:0d:67,<Broadcast>,-84
2026-03-04 17:45:19.899967,62:12:da:ac:53:52,P,-65
2026-03-04 17:45:20.209089,62:12:da:ac:53:52,P,-52
2026-03-04 17:45:20.220332,62:12:da:ac:53:52,P,-52
2026-03-04 17:45:20.351110,00:80:92:bd:0d:04,UCR-SECURE,-83
2026-03-04 17:45:20.577374,5e:ec:f7:33:6a:02,UCR-SECURE,-83
2026-03-04 17:45:21.632703,02:56:8c:86:cc:80,<Broadcast>,-53
2026-03-04 17:45:21.653483,d6:cd:a9:60:76:62,<Broadcast>,-59
2026-03-04 17:45:21.665353,d6:cd:a9:60:76:62,<Broadcast>,-58
2026-03-04 17:45:21.714307,46:ce:1f:33:08:45,<Broadcast>,-55
2026-03-04 17:45:21.864637,da:02:64:8a:41:19,<Broadcast>,-78
2026-03-04 17:45:21.883576,da:02:64:8a:41:19,<Broadcast>,-76
2026-03-04 17:45:22.208025,3a:82:65:7c:f0:30,NETGEAR-5G,-58
2026-03-04 17:45:22.279630,3a:82:65:7c:f0:30,<Broadcast>,-59
2026-03-04 17:45:22.282340,3a:82:65:7c:f0:30,NETGEAR-5G,-60
2026-03-04 17:45:22.286472,3a:82:65:7c:f0:30,CMCC-32yu-5G,-62
2026-03-04 17:45:22.290908,3a:82:65:7c:f0:30,Pixel_9240,-49
2026-03-04 17:45:22.293284,3a:82:65:7c:f0:30,TP-LINK_A715,-49
2026-03-04 17:45:22.297962,3a:82:65:7c:f0:30,<Broadcast>,-60
2026-03-04 17:45:22.300381,3a:82:65:7c:f0:30,NETGEAR-5G,-59
2026-03-04 17:45:22.324174,3a:82:65:7c:f0:30,NETGEAR-5G,-61
2026-03-04 17:45:22.326681,3a:82:65:7c:f0:30,CMCC-32yu-5G,-59
2026-03-04 17:45:22.341287,3a:82:65:7c:f0:30,<Broadcast>,-48
2026-03-04 17:45:22.342822,3a:82:65:7c:f0:30,NETGEAR-5G,-58
2026-03-04 17:45:22.344902,3a:82:65:7c:f0:30,CMCC-32yu-5G,-58
2026-03-04 17:45:22.346501,3a:82:65:7c:f0:30,TP-LINK_A715,-47
2026-03-04 17:45:22.349125,3a:82:65:7c:f0:30,gateway5G,-58
2026-03-04 17:45:22.358987,3a:82:65:7c:f0:30,<Broadcast>,-57
2026-03-04 17:45:22.362436,3a:82:65:7c:f0:30,NETGEAR-5G,-45
2026-03-04 17:45:22.365109,3a:82:65:7c:f0:30,CMCC-32yu-5G,-57
2026-03-04 17:45:22.371539,3a:82:65:7c:f0:30,TP-LINK_A715,-45
2026-03-04 17:45:22.374968,3a:82:65:7c:f0:30,gateway5G,-57
2026-03-04 17:45:22.380841,3a:82:65:7c:f0:30,<Broadcast>,-46
2026-03-04 17:45:22.383157,3a:82:65:7c:f0:30,NETGEAR-5G,-45
2026-03-04 17:45:22.385619,3a:82:65:7c:f0:30,CMCC-32yu-5G,-44
2026-03-04 17:45:22.388700,3a:82:65:7c:f0:30,Pixel_9240,-57
2026-03-04 17:45:22.391605,3a:82:65:7c:f0:30,TP-LINK_A715,-57
2026-03-04 17:45:22.400962,3a:82:65:7c:f0:30,<Broadcast>,-57
2026-03-04 17:45:22.404013,3a:82:65:7c:f0:30,NETGEAR-5G,-46
2026-03-04 17:45:22.406447,3a:82:65:7c:f0:30,CMCC-32yu-5G,-46
2026-03-04 17:45:22.409645,3a:82:65:7c:f0:30,Pixel_9240,-57
2026-03-04 17:45:22.463181,3a:82:65:7c:f0:30,<Broadcast>,-47
2026-03-04 17:45:22.465351,3a:82:65:7c:f0:30,NETGEAR-5G,-48
2026-03-04 17:45:22.468109,3a:82:65:7c:f0:30,CMCC-32yu-5G,-63
2026-03-04 17:45:22.471161,3a:82:65:7c:f0:30,Pixel_9240,-61
2026-03-04 17:45:22.475078,3a:82:65:7c:f0:30,TP-LINK_A715,-47
2026-03-04 17:45:22.477777,3a:82:65:7c:f0:30,gateway5G,-47
2026-03-04 17:45:22.481351,3a:82:65:7c:f0:30,<Broadcast>,-47
2026-03-04 17:45:22.483890,3a:82:65:7c:f0:30,NETGEAR-5G,-60
2026-03-04 17:45:22.487112,3a:82:65:7c:f0:30,CMCC-32yu-5G,-48
2026-03-04 17:45:22.490179,3a:82:65:7c:f0:30,Pixel_9240,-49
2026-03-04 17:45:22.495324,3a:82:65:7c:f0:30,TP-LINK_A715,-49
2026-03-04 17:45:24.088264,6e:8c:60:db:e2:20,<Broadcast>,-53
2026-03-04 17:45:24.097400,6e:8c:60:db:e2:20,<Broadcast>,-54
2026-03-04 17:45:24.165947,d6:f1:0a:c0:fe:df,<Broadcast>,-55
2026-03-04 17:45:24.184092,d6:f1:0a:c0:fe:df,<Broadcast>,-55
2026-03-04 17:45:24.301711,92:3f:28:63:1f:f3,<Broadcast>,-57
2026-03-04 17:45:24.315990,92:3f:28:63:1f:f3,<Broadcast>,-55
2026-03-04 17:45:24.972340,12:14:4b:d4:1f:d3,<Broadcast>,-56
2026-03-04 17:45:25.003448,fa:c1:08:db:43:8c,<Broadcast>,-58
2026-03-04 17:45:25.005044,10:5b:ad:c6:62:9c,<Broadcast>,-80
2026-03-04 17:45:25.032003,f2:8c:6d:17:4f:5e,<Broadcast>,-54
2026-03-04 17:45:25.046823,54:27:1e:86:63:1f,<Broadcast>,-59
2026-03-04 17:45:25.072026,54:27:1e:86:63:1f,<Broadcast>,-62
2026-03-04 17:45:25.134011,54:27:1e:86:63:1f,<Broadcast>,-64
2026-03-04 17:45:25.262189,c6:b9:54:7d:1f:69,<Broadcast>,-51
2026-03-04 17:45:25.280548,c6:b9:54:7d:1f:69,<Broadcast>,-52
2026-03-04 17:45:25.328562,ac:d5:64:82:cf:ac,<Broadcast>,-84
2026-03-04 17:45:25.337363,ac:d5:64:82:cf:ac,<Broadcast>,-84
2026-03-04 17:45:25.387332,c6:b9:54:7d:1f:69,<Broadcast>,-53
2026-03-04 17:45:25.478459,c6:b9:54:7d:1f:69,<Broadcast>,-58
2026-03-04 17:45:25.497699,c6:b9:54:7d:1f:69,<Broadcast>,-55
2026-03-04 17:45:26.319002,12:d6:04:2c:77:ee,<Broadcast>,-66
2026-03-04 17:45:26.329682,12:d6:04:2c:77:ee,<Broadcast>,-63
2026-03-04 17:45:26.350557,ae:08:fc:fd:0f:c0,<Broadcast>,-60
2026-03-04 17:45:26.360150,ae:08:fc:fd:0f:c0,<Broadcast>,-61
2026-03-04 17:45:26.382307,56:9e:de:d1:19:b5,<Broadcast>,-65
2026-03-04 17:45:26.390778,56:9e:de:d1:19:b5,<Broadcast>,-64
2026-03-04 17:45:27.728272,36:dd:f9:9a:5c:60,Pudong.Library,-57
2026-03-04 17:45:27.754727,06:59:52:7b:48:07,Pudong.Library,-55
2026-03-04 17:45:27.766878,06:59:52:7b:48:07,Pudong.Library,-55
2026-03-04 17:45:27.862933,d2:ac:61:76:0d:1f,Pudong.Library,-59
2026-03-04 17:45:28.356228,54:27:1e:86:63:1f,P,-62
